run_id,experiment,model,baseline_c0,baseline_g,baseline_delta,baseline_gamma,target_v,c_star,T_star,extinction_prob,ubar,gamma,g,delta
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,0.42857142857142855,-42.36489301936018,-0.5275252316519468,7.0,2.0,0.02,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,0.7142857142857142,-8.411805915530326,-0.08775730593727715,7.0,2.0,0.04,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,1.0,0.0,0.0,7.0,2.0,0.06,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,1.2857142857142856,3.141430353511325,0.030926000888604754,7.0,2.0,0.08,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,1.5714285714285714,4.519851237430572,0.04419227666152126,7.0,2.0,0.1,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,1.857142857142857,5.158660070051862,0.050278600137732776,7.0,2.0,0.12,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,2.142857142857143,5.4438575146206905,0.05298332256774052,7.0,2.0,0.14,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,2.4285714285714284,5.545644968755642,0.05394677631322886,7.0,2.0,0.16,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,2.714285714285714,5.547382389506261,0.053963213095460594,7.0,2.0,0.18,0.01
20251111_113625,simple_model_growth_sweep,SimpleAIGrowthRiskModel,1.0,0.1,0.01,2.0,6.0,3.0,5.493061443340549,0.05344917735984078,7.0,2.0,0.2,0.01
